c_almacen,d_almacen,d_producto,c_color_proveedor,d_color_proveedor,to_cantidad,tot_venta,to_saldo,saldo_fecha,saldo_transito,saldo_separado,saldo_disponible,
24,PRICE SHOES,993PLANTHOM,GENE,GENERICO,0,0,-2,-2,0,0,-2
48,PRICE SHOES # 48,7721KS20,NEGR,NEGRO,1,19244,-1,-1,0,0,-1
24,PRICE SHOES,022M50271223,NEGR,NEGRO,0,0,-1,-1,0,0,-1
24,PRICE SHOES,022B8359112,OROR,OROROSA,0,0,-1,-1,0,0,-1
24,PRICE SHOES,100FLETE,GENE,GENERICO,1,9900,0,0,0,0,0
24,PRICE SHOES,732063,NUDE,NUDE,2,75546,0,0,0,0,0
46,PRICE SHOES # 46,152BERLIN,BEIG,BEIGE,1,63798,0,0,0,0,0
47,PRICE SHOES # 47,022M5627-420-18814,NEGR,NEGRO,1,41975,0,0,0,0,0
25,PRICE SHOES,773HELIO,GRIS,GRIS,1,33571,0,0,0,0,0
21,PRICE SHOES,932W18048,CAME,CAMEL,1,54580,0,0,0,0,0
30,PRICE SHOES,022M5259-605-13488,NEGR,NEGRO,1,33571,0,0,0,0,0
47,PRICE SHOES # 47,152CHICAGO,NEGR,NEGRO,1,79748,0,0,0,0,0
30,PRICE SHOES,022M4791-400-18026,NUDE,NUDE,3,100713,0,16,0,0,0
44,PRICE SHOES # 44,732010,BEIG,BEIGE,0,0,0,0,2,0,0
30,PRICE SHOES,022M5301-309-18530,SALM,SALMON,0,0,0,8,0,0,0
30,PRICE SHOES,152BARCELONA,MIEL,MIEL,1,79748,0,0,0,0,0
24,PRICE SHOES,962TRINI,AZUL,AZUL,2,58706,0,0,0,0,0
25,PRICE SHOES,4727308,MIEL,MIEL,0,0,0,0,7,0,0
6,PRICE SHOES,022M5255635,NUDE,NUDE,3,75504,0,20,0,0,0
6,PRICE SHOES,022B8280-248-13488,NUDE,NUDE,3,125925,0,2,0,0,0
6,PRICE SHOES,022M5156-452-14794,NEGR,NEGRO,3,113319,0,0,0,0,0
1,PRICE SHOES,022M1184-1101-13488,BLAN,BLANCO,0,0,0,0,1,0,0
24,PRICE SHOES,732065,BLAN,BLANCO,1,52882,0,0,0,0,0
21,PRICE SHOES,73208,NEGR,NEGRO,0,0,0,0,2,0,0
46,PRICE SHOES # 46,022P746015-1,MULT,MULTICOLOR,0,0,0,1,0,0,0
44,PRICE SHOES # 44,302733,NEGR,NEGRO,1,21765,0,0,0,0,0
6,PRICE SHOES,262632,DORA,DORADO,1,29370,0,0,0,0,0
36,PRICE SHOES,882VIOLETA,AZUL,AZUL,2,75546,0,0,0,0,0
30,PRICE SHOES,73208,AZUL,AZUL,2,50294,0,0,0,0,0
46,PRICE SHOES # 46,022M8381-100-14710,OROR,OROROSA,1,33571,0,0,0,0,0
39,PRICE SHOES,663106VENA3,NEGR,NEGRO,1,39874,0,0,0,0,0
25,PRICE SHOES,022B8359113,DORA,DORADO,1,20966,0,0,0,0,0
24,PRICE SHOES,663102400D,MIEL,MIEL,1,52882,0,0,0,0,0
24,PRICE SHOES,732VENECIAGM,NEGR,NEGRO,1,23471,0,0,0,0,0
30,PRICE SHOES,232VIRGINIA,NEGR,NEGRO,2,60428,0,0,0,0,0
30,PRICE SHOES,100FLETE,GENE,GENERICO,1,7000,0,0,0,0,0
46,PRICE SHOES # 46,022V1305-106-5881,CAME,CAMEL,2,83950,0,1,0,0,0
24,PRICE SHOES,152CHICAGOTEX,BEIG,BEIGE,1,55824,0,0,0,0,0
46,PRICE SHOES # 46,022P749017-1,MULT,MULTICOLOR,1,62983,0,3,0,0,0
38,PRICE SHOES,732051,MOST,MOSTAZA,0,0,0,1,0,0,0
48,PRICE SHOES # 48,663110496,CAFE,CAFE,1,100756,0,0,0,0,0
43,PRICE SHOES WEB,6631042477,NEGR,NEGRO,1,63798,0,0,0,0,0
48,PRICE SHOES # 48,932A28923-23,NEGR,NEGRO,3,113319,0,0,0,0,0
43,PRICE SHOES WEB,022M50271223,NEGR,NEGRO,2,65445,0,0,0,0,0
1,PRICE SHOES,732012,NEGR,NEGRO,3,67059,0,0,0,0,0
30,PRICE SHOES,732061,NEGR,NEGRO,1,37773,0,0,0,0,0
6,PRICE SHOES,022M4791-400-18026,NUDE,NUDE,1,33571,0,3,0,0,0
21,PRICE SHOES,022B8359111,BLAN,BLANCO,1,20966,0,0,0,0,0
24,PRICE SHOES,152LISBOA,MIEL,MIEL,1,39874,0,0,0,0,0
1,PRICE SHOES,022M5230-434-5881,BEIG,BEIGE,0,0,0,0,1,0,0
1,PRICE SHOES,022M1290-500-18982,BLAN,BLANCO,0,0,0,0,4,0,0
47,PRICE SHOES # 47,542881,MULT,MULTICOLOR,2,100714,0,0,0,0,0
6,PRICE SHOES,302579,NUDE,NUDE,3,62898,0,0,0,0,0
1,PRICE SHOES,882P26,MIEL,MIEL,1,37773,0,0,0,0,0
48,PRICE SHOES # 48,9322018-F5,BLAN,BLANCO,2,75546,0,0,0,0,0
48,PRICE SHOES # 48,663116PEDRO,MIEL,MIEL,1,79748,0,0,0,0,0
47,PRICE SHOES # 47,9326099-5-1,BEIG,BEIGE,2,-2,0,0,0,0,0
6,PRICE SHOES,522ESPANA,BEIG,BEIGE,1,37773,0,0,0,0,0
24,PRICE SHOES,663106JESUS,AREN,ARENA,1,55824,0,0,0,0,0
37,PRICE SHOES,2921900,AZUL,AZUL,1,16723,0,0,0,0,0
36,PRICE SHOES,602439,AZUL,AZUL,4,125840,0,0,0,0,0
21,PRICE SHOES,732VENECIAGM,ORO,ORO,1,33529,0,0,0,0,0
39,PRICE SHOES,152CHICAGOTEX,NEGR,NEGRO,1,79748,0,0,0,0,0
30,PRICE SHOES,732012,NEGR,NEGRO,2,50294,0,0,0,0,0
6,PRICE SHOES,9326099-C15,DORA,DORADO,2,67142,0,0,0,0,0
39,PRICE SHOES,022M2524-508-18601,ROSA,ROSADO,1,25168,0,0,0,0,0
6,PRICE SHOES,022V1308-100-13967,BEIG,BEIGE,2,109160,0,2,0,0,0
45,PRICE SHOES # 45,882VIOLETA,AREN,ARENA,1,37773,0,0,0,0,0
45,PRICE SHOES # 45,882P26,BLAN,BLANCO,2,75546,0,0,0,0,0
1,PRICE SHOES,022P517009,MULT,MULTICOLOR,0,0,0,0,1,0,0
30,PRICE SHOES,022M1206-252-13488,NEGR,NEGRO,1,37773,0,0,0,0,0
43,PRICE SHOES WEB,663106726,GRIS,GRIS,0,0,0,0,1,0,0
1,PRICE SHOES,022V1308-100-13967,BEIG,BEIGE,0,0,0,0,2,0,0
24,PRICE SHOES,7721KS20,PLAT,PLATA,2,28866,0,0,0,0,0
42,PRICE SHOES,6631042485,CAFE,CAFE,0,0,0,0,1,0,0
38,PRICE SHOES,6922701,ROSA,ROSADO,4,83864,0,0,0,0,0
7,PRICE SHOES,912021CHICAMOCHA,MULT,MULTICOLOR,1,20966,0,0,0,0,0
1,PRICE SHOES,7731K1,AZUL,AZUL,1,19286,0,0,0,0,0
7,PRICE SHOES,91021MUCURA,MULT,MULTICOLOR,1,20966,0,0,0,0,0
38,PRICE SHOES,272HUN,ROSA,ROSADO,1,37773,0,0,0,0,0
36,PRICE SHOES,882P44,ROJO,ROJO,4,167900,0,0,0,0,0
22,PRICE SHOES,272MONACO,NEGR,NEGRO,0,0,0,0,13,0,0
1,PRICE SHOES,022M8321-725-9913,NEGR,NEGRO,0,0,0,0,4,0,0
37,PRICE SHOES,522LED,NEGR,NEGRO,2,58740,0,0,0,0,0
24,PRICE SHOES,7721KS50,AZUL,AZUL,1,17588,0,0,0,0,0
42,PRICE SHOES,732PANDERETA,BLAN,BLANCO,1,25168,0,0,0,0,0
42,PRICE SHOES,732PANDERETA,CAFE,CAFE,1,25168,0,0,2,0,0
1,PRICE SHOES,022M1184-101-17588,CAME,CAMEL,0,0,0,0,1,0,0
1,PRICE SHOES,022M6411-105-14710,PLAT,PLATA,0,0,0,0,3,0,0
21,PRICE SHOES,732010,AZUL,AZUL,0,0,0,0,2,0,0
30,PRICE SHOES,022M1184-1101-7286,NUDE,NUDE,3,113319,0,0,0,0,0
6,PRICE SHOES,6922746,NEGR,NEGRO,1,20966,0,0,0,0,0
30,PRICE SHOES,6922226,CELE,CELESTE,2,58740,0,0,0,0,0
1,PRICE SHOES,022M5230-444-18655,NEGR,NEGRO,0,42,0,0,0,0,0
6,PRICE SHOES,022A4804102,BEIG,BEIGE,2,117564,0,3,0,0,0
6,PRICE SHOES,9322018-F7,BEIG,BEIGE,2,75546,0,1,0,0,0
42,PRICE SHOES,663106155,GRIS,GRIS,1,79748,0,0,0,0,0
36,PRICE SHOES,882P25,NEGR,NEGRO,1,37773,0,0,0,0,0
1,PRICE SHOES,462P51,BEIG,BEIGE,1,33571,0,0,0,0,0
24,PRICE SHOES,272HUN,MENT,MENTA,1,37773,0,1,0,0,0
6,PRICE SHOES,272HUN,AMAR,AMARILLO,1,75546,0,0,0,0,0
42,PRICE SHOES,732010,ROJO,ROJO,0,0,0,0,2,0,0
